idade,data,endereco,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
25,08/11/1998,"Lago Thiago Aragão, 54
Céu Azul
14208587 Caldeira / RO",Goiás,3268.8,Ensino Médio,0,Solteiro,Educação
49,19/10/1974,"Recanto Noah Rezende, 24
Vila Puc
63658-091 Souza / PI",Bahia,10181.14,Ensino Superior,1,Casado,Comércio
61,10/11/1962,"Lago Daniel Campos
Havaí
56785-724 Rodrigues do Galho / SE",Alagoas,9928.59,Ensino Médio,0,Casado,Indústria
59,05/04/1965,"Aeroporto Porto, 4
Vila Bandeirantes
21106038 Rodrigues de Melo / GO",Pernambuco,9808.35,Ensino Superior,4,Casado,Educação
50,28/09/1973,"Área Oliveira, 504
Aeroporto
83431630 Dias / RN",Sergipe,5225.2,Ensino Médio,1,Casado,Comércio
22,02/10/2001,"Favela Ryan Moraes, 44
União
19402-181 Oliveira da Mata / BA",Sergipe,3645.0,Ensino Superior,1,Casado,Educação
85,10/04/1939,"Rodovia Beatriz Costa, 34
Jardim Alvorada
16398-038 Ramos / AC",Distrito Federal,2387.19,Ensino Fundamental,0,Casado,Tecnologia
46,22/02/1978,"Vereda de Nunes, 21
Venda Nova
05729-057 Barros / AM",Alagoas,7664.25,Ensino Médio,1,Casado,Tecnologia
55,29/05/1968,"Colônia Nunes, 363
Nova Pampulha
64002-271 Jesus / SE",Amazonas,3649.5,Ensino Médio,0,Casado,Comércio
55,21/07/1968,"Quadra Lima, 92
Custodinha
82512-058 da Rocha da Mata / PE",Amazonas,4405.56,Ensino Médio,2,Casado,Educação
42,23/07/1981,"Largo Bruno Farias, 27
Santana Do Cafezal
09115624 Nunes do Galho / RO",Piauí,4501.08,Ensino Médio,0,Casado,Saúde
21,18/07/2002,"Passarela João Guilherme Costa, 26
São Bento
08177-207 Gonçalves Verde / PI",Amazonas,2386.33,Ensino Fundamental,0,Viúvo,Educação
18,04/06/2005,"Sítio Martins, 791
Liberdade
28298-953 Monteiro / MT",Mato Grosso do Sul,3485.57,Ensino Fundamental,1,Casado,Tecnologia
28,23/01/1996,"Lagoa de Santos
Conjunto Santa Maria
99655-619 Gomes da Mata / ES",Roraima,3441.77,Ensino Médio,0,Solteiro,Saúde
83,17/10/1940,"Travessa Vitória Castro, 6
Gameleira
76844798 Nunes / AC",Goiás,3432.61,Ensino Médio,1,Casado,Indústria
65,30/07/1958,"Viaduto de Gomes, 35
Vila Sesc
88706-700 Fogaça / SE",Maranhão,7609.68,Ensino Fundamental,3,Casado,Indústria
23,04/12/2000,"Favela Azevedo, 56
Vila Nova Dos Milionarios
73260137 Novaes / RO",Rondônia,3468.81,Ensino Fundamental,1,Divorciado,Tecnologia
78,12/10/1945,"Núcleo Kevin Fogaça, 61
Jardim Alvorada
35573-600 Ferreira / DF",Espírito Santo,5986.45,Ensino Médio,1,Solteiro,Comércio
22,25/09/2001,"Núcleo Luiz Gustavo Novaes, 549
Cidade Jardim
20170-619 da Cruz / AP",Rio Grande do Sul,5093.49,Ensino Médio,2,Solteiro,Indústria
39,03/06/1984,"Praia Arthur Ribeiro, 6
Monte Azul
76998863 Almeida / RO",Paraná,3446.2,Ensino Médio,0,Casado,Indústria
54,18/06/1969,"Viaduto de da Rocha
Belvedere
75072641 Costela / SP",Pará,8094.16,Ensino Médio,4,Solteiro,Tecnologia
28,11/07/1995,"Feira de Freitas, 82
Cônego Pinheiro 1ª Seção
91538600 Silva de da Paz / RN",Amazonas,5517.69,Ensino Médio,3,Casado,Indústria
24,22/12/1999,"Esplanada Laís da Conceição, 733
Liberdade
53575-467 Jesus / PB",Bahia,3057.43,Ensino Fundamental,1,Solteiro,Indústria
49,26/04/1974,"Rodovia da Cunha, 87
Vila Formosa
06433-760 Cardoso do Oeste / AC",Goiás,4611.62,Ensino Médio,0,Casado,Comércio
30,11/12/1993,"Lagoa de Lima, 33
São Vicente
44425-416 Teixeira de Goiás / RS",Rio Grande do Sul,6082.64,Ensino Médio,3,Solteiro,Indústria
47,19/03/1977,"Residencial Igor Barbosa, 9
Novo Das Industrias
57070206 Novaes de Costela / TO",Distrito Federal,19730.97,Ensino Superior,2,Casado,Tecnologia
56,12/09/1967,"Aeroporto de Porto, 37
Vila Olhos D'água
89035599 Rocha / CE",Amazonas,4895.37,Ensino Médio,0,Casado,Tecnologia
22,18/02/2002,"Alameda Rezende, 132
Havaí
54477412 Castro / CE",Amazonas,4746.11,Ensino Médio,1,Solteiro,Educação
22,17/08/2001,"Via Maria Vitória Silva, 1
Aparecida 7ª Seção
81034789 Azevedo / AL",Espírito Santo,9137.8,Ensino Superior,0,Solteiro,Indústria
18,28/12/2005,"Condomínio de Barbosa
Vila Madre Gertrudes 4ª Seção
60083-956 Alves / MS",Pernambuco,2788.97,Ensino Médio,1,Casado,Comércio
19,22/09/2004,"Largo de Cardoso, 777
Beira Linha
69006462 das Neves / MT",São Paulo,2936.85,Ensino Médio,3,Casado,Indústria
21,07/01/2003,"Recanto Isabella Caldeira, 241
Vila Madre Gertrudes 3ª Seção
19965-788 Fogaça Alegre / MG",Roraima,2892.95,Ensino Fundamental,1,Casado,Educação
59,26/10/1964,"Viela de Azevedo, 65
Vila Satélite
37814578 Ribeiro / MG",Pará,17026.17,Ensino Superior,0,Casado,Tecnologia
22,10/11/2001,"Feira Ana Laura da Costa, 842
Taquaril
47166382 Rezende / MS",Goiás,5185.59,Ensino Médio,2,Solteiro,Comércio
57,03/04/1967,"Trecho Maria Cecília Souza, 2
São Jorge 2ª Seção
79028836 Gomes / PR",Rondônia,4204.97,Ensino Médio,3,Divorciado,Educação
53,29/09/1970,"Viaduto Freitas, 58
Copacabana
06482-168 Ferreira / SC",Bahia,8967.94,Ensino Médio,1,Casado,Comércio
23,25/01/2001,"Recanto de Oliveira, 20
Vila Madre Gertrudes 4ª Seção
71684-218 Lima do Sul / PA",Pernambuco,8801.98,Ensino Superior,0,Casado,Tecnologia
88,04/12/1935,"Travessa de Pires, 834
Vila Nossa Senhora Do Rosário
63145269 Cardoso do Amparo / PA",Amazonas,2813.73,Ensino Fundamental,2,Solteiro,Saúde
25,10/08/1998,"Quadra Barbosa, 87
Buraco Quente
58384045 Moura / MG",Distrito Federal,4038.33,Ensino Médio,1,Casado,Comércio
88,17/03/1936,"Conjunto de Costa, 948
Maravilha
13250-179 Carvalho Grande / AP",Goiás,4843.84,Ensino Superior,0,Solteiro,Tecnologia
18,14/02/2006,"Praia Gomes, 851
Mangueiras
72370779 das Neves / SP",Acre,7335.02,Ensino Médio,0,Casado,Tecnologia
24,24/07/1999,"Loteamento Maria Luiza Gomes, 70
Madre Gertrudes
19010517 Caldeira / PA",Maranhão,5096.93,Ensino Médio,0,Solteiro,Educação
65,03/06/1958,"Estação Nogueira, 40
Boa Vista
84460-945 Dias Alegre / RR",Paraíba,13917.07,Ensino Médio,0,Viúvo,Indústria
18,24/03/2006,"Viela Silveira
Lajedo
72423-966 Porto / RO",Distrito Federal,6734.71,Pós-graduação,2,Casado,Educação
19,12/01/2005,"Viela Eloah Moura, 60
Bonfim
99971159 Moura do Sul / SP",Sergipe,8549.4,Pós-graduação,4,Casado,Indústria
85,04/01/1939,"Residencial Pires, 27
Marmiteiros
84975963 Almeida / PI",Santa Catarina,13081.43,Ensino Médio,2,Casado,Indústria
59,07/11/1964,"Jardim Ramos, 9
Nova Cintra
82742993 Farias de Dias / MG",São Paulo,12474.65,Ensino Superior,0,Casado,Educação
34,01/07/1989,"Morro de Mendes, 715
Apolonia
24203-413 Araújo / BA",Piauí,7565.66,Pós-graduação,2,Solteiro,Tecnologia
37,23/09/1986,"Setor de Carvalho, 20
Granja Werneck
23424686 Cardoso / RN",Goiás,10279.89,Ensino Médio,0,Casado,Tecnologia
33,01/12/1990,"Distrito Emilly Melo, 91
Graça
11166505 Novaes / CE",Sergipe,10491.23,Ensino Superior,0,Casado,Tecnologia
61,11/12/1962,"Travessa Araújo, 51
Nova Esperança
03884065 Campos do Campo / RJ",Minas Gerais,4189.37,Ensino Médio,0,Solteiro,Educação
30,05/03/1994,"Estrada de Novaes
Acaba Mundo
88025764 Farias Verde / AC",Amazonas,4253.02,Ensino Superior,0,Casado,Comércio
19,13/03/2005,"Morro Enzo Gabriel Gonçalves
Marieta 1ª Seção
05678-927 Barbosa do Oeste / PA",São Paulo,3472.01,Ensino Médio,4,Casado,Saúde
27,26/07/1996,"Feira de Campos, 44
Sion
38651328 Peixoto / AC",São Paulo,5043.59,Ensino Médio,5,Solteiro,Tecnologia
53,14/02/1971,"Vila Eduarda Carvalho, 444
Vila Petropolis
21732848 Melo de Ramos / PA",Pernambuco,16878.91,Pós-graduação,2,Casado,Educação
45,24/12/1978,"Favela de Carvalho, 45
São Francisco
69956507 Mendes / ES",Roraima,9106.5,Ensino Médio,0,Solteiro,Saúde
40,17/12/1983,"Favela de Martins, 433
Beija Flor
85455559 das Neves / PE",Distrito Federal,6051.48,Ensino Fundamental,3,Solteiro,Tecnologia
43,06/04/1981,"Lago Calebe Freitas
Santa Inês
56225-290 Cardoso / ES",Rondônia,6732.19,Ensino Médio,0,Casado,Comércio
27,17/10/1996,"Morro Juliana Porto, 20
Nova Cachoeirinha
80855004 Farias / CE",Minas Gerais,2975.55,Ensino Médio,0,Divorciado,Indústria
45,02/08/1978,"Via Oliveira, 508
Santa Cruz
91678-973 da Rosa dos Dourados / RS",Paraíba,11210.57,Ensino Superior,1,Solteiro,Comércio
22,10/12/2001,"Vereda Araújo, 33
Embaúbas
15168-391 Azevedo / MA",Mato Grosso,4559.16,Ensino Superior,0,Casado,Educação
39,22/05/1984,"Via Freitas
Vila São Paulo
87173-593 Costela / PB",Amapá,4054.92,Ensino Fundamental,0,Solteiro,Comércio
55,28/01/1969,"Campo Emilly Melo, 10
Olaria
69886-683 Jesus Verde / PA",Tocantins,12509.8,Pós-graduação,1,Casado,Saúde
59,12/08/1964,"Via Peixoto
Penha
80521-244 Carvalho / RJ",Acre,3654.98,Ensino Fundamental,1,Divorciado,Comércio
49,10/01/1975,"Conjunto de Martins, 80
Custodinha
43429-714 Silva do Sul / PR",Rio de Janeiro,8611.1,Ensino Superior,0,Casado,Saúde
63,07/11/1960,"Fazenda Pereira, 22
Nossa Senhora Do Rosário
23732278 Gomes Verde / SP",Rio Grande do Sul,6666.87,Ensino Médio,2,Casado,Comércio
19,04/02/2005,"Área Jesus
Marajó
19758074 Costa de da Rocha / PE",Pernambuco,1593.65,Ensino Fundamental,1,Solteiro,Educação
20,12/10/2003,"Loteamento de da Rocha, 24
São Francisco
74588541 Peixoto / RO",Rio Grande do Sul,5069.23,Ensino Médio,0,Solteiro,Saúde
56,25/10/1967,"Aeroporto Ribeiro, 8
Virgínia
84651-537 Nogueira / PR",Pernambuco,11820.72,Ensino Superior,1,Divorciado,Saúde
53,25/02/1971,"Passarela de Moura, 41
Nova Esperança
69314-625 Oliveira / ES",Pernambuco,14303.7,Ensino Superior,2,Viúvo,Tecnologia
61,05/04/1963,"Estrada de Pereira, 41
Concórdia
45770-486 Santos Alegre / BA",Rondônia,4946.28,Ensino Médio,0,Solteiro,Comércio
54,30/09/1969,"Colônia Lucca Campos, 67
Boa Esperança
42778-114 Duarte das Flores / TO",Roraima,5003.55,Ensino Médio,1,Divorciado,Educação
43,04/10/1980,"Vereda Almeida, 8
Cdi Jatoba
20676309 Carvalho / MA",Rondônia,5648.23,Ensino Médio,3,Casado,Saúde
18,05/01/2006,"Núcleo Ramos, 28
Vila Da Ária
36026-797 Silva / RJ",Espírito Santo,6662.12,Ensino Superior,0,Solteiro,Educação
52,22/06/1971,"Chácara Pinto, 1
Centro
42640258 Pires / SP",Mato Grosso do Sul,7833.93,Ensino Médio,1,Casado,Indústria
79,24/09/1944,"Residencial Emanuelly Cavalcanti, 34
Barro Preto
07085-949 Peixoto / PB",Santa Catarina,2999.89,Ensino Fundamental,0,Casado,Indústria
42,14/05/1981,"Praça Silveira, 443
São Benedito
94163-679 Vieira / AM",Bahia,7863.54,Ensino Superior,4,Casado,Tecnologia
31,29/11/1992,"Loteamento de Barbosa
Juliana
00195-795 Almeida do Norte / PI",Espírito Santo,2540.53,Ensino Fundamental,0,Divorciado,Indústria
33,28/03/1991,"Núcleo Eduardo Ferreira, 54
Vila Nova Gameleira 3ª Seção
46094494 Santos de Ribeiro / DF",Maranhão,6179.44,Ensino Médio,1,Casado,Saúde
64,09/08/1959,"Avenida Vieira, 60
Cidade Jardim Taquaril
71484-748 Porto de Melo / ES",Mato Grosso,7677.11,Ensino Fundamental,0,Solteiro,Indústria
22,11/01/2002,"Residencial de Lopes, 93
Lorena
28409-020 da Rocha / RS",Bahia,5261.29,Ensino Médio,2,Casado,Educação
63,12/02/1961,"Estrada Fernandes, 67
Conjunto Providencia
56170069 Dias da Serra / RJ",Goiás,4388.63,Ensino Fundamental,0,Solteiro,Tecnologia
25,24/09/1998,"Setor Rezende, 90
Pirineus
95314-409 da Conceição / PR",Rio Grande do Sul,7653.98,Ensino Médio,1,Casado,Saúde
54,29/06/1969,"Travessa da Paz, 5
Horto Florestal
30808318 Ribeiro / PB",Acre,3615.51,Ensino Médio,0,Solteiro,Tecnologia
27,04/05/1996,"Jardim Castro, 24
Havaí
68750233 Castro / SC",Rio Grande do Norte,6736.01,Ensino Médio,3,Casado,Indústria
48,09/12/1975,"Rua de Vieira, 53
Aarão Reis
85654-665 Caldeira / MA",Ceará,8778.35,Ensino Médio,0,Casado,Comércio
29,23/09/1994,"Chácara de Rezende
Flamengo
47627951 Fogaça / AL",Bahia,5750.17,Ensino Superior,0,Solteiro,Comércio
77,13/05/1946,"Vereda João Miguel Cardoso, 332
São Geraldo
87252-650 Moreira Verde / AM",Tocantins,12245.98,Ensino Médio,0,Solteiro,Saúde
47,15/06/1976,"Vale Gabriela Azevedo, 71
Leonina
19193439 da Mata / AP",Rondônia,7152.08,Ensino Médio,1,Casado,Indústria
47,26/02/1977,"Chácara Souza, 74
Jaqueline
22929-835 Gonçalves de Nascimento / PE",Rio Grande do Norte,5305.75,Ensino Superior,1,Casado,Indústria
43,10/06/1980,"Viela Calebe da Rosa, 90
Vila São Geraldo
95229-719 Souza / MG",Distrito Federal,4721.31,Ensino Médio,1,Casado,Educação
31,07/02/1993,"Residencial de Carvalho, 79
Vera Cruz
71516-888 Moraes / PR",Acre,6056.4,Ensino Médio,0,Casado,Comércio
18,26/07/2005,"Conjunto Silva, 25
Sagrada Família
33578420 Alves do Oeste / DF",Amazonas,2386.9,Ensino Fundamental,1,Casado,Educação
20,09/11/2003,"Condomínio Maria Alice Freitas, 1
Vila Petropolis
99296481 Rocha / SP",Santa Catarina,1700.15,Ensino Fundamental,2,Casado,Comércio
36,27/09/1987,"Lago Cardoso
Venda Nova
53865-561 Campos do Sul / MS",Paraná,3861.92,Ensino Fundamental,0,Casado,Comércio
47,24/10/1976,"Condomínio de Silveira, 81
Vila São Geraldo
93045899 Pinto / RO",Amazonas,6081.45,Ensino Médio,0,Casado,Saúde
30,26/09/1993,"Estação Lucas Gabriel Costa
Vila Madre Gertrudes 3ª Seção
45784-262 da Conceição da Praia / RR",Amapá,5101.38,Ensino Superior,0,Casado,Saúde
29,18/12/1994,"Pátio Lucas Gabriel da Rosa, 41
Anchieta
52303-098 Cavalcanti de Goiás / AL",Ceará,2443.38,Ensino Médio,0,Casado,Comércio
48,23/03/1976,"Favela Isadora da Luz, 5
Anchieta
62114-525 Novaes / SE",Sergipe,10761.24,Ensino Superior,1,Casado,Comércio
46,02/01/1978,"Praia Melo, 72
Fernão Dias
02283596 da Costa / CE",Pernambuco,10789.48,Ensino Médio,1,Casado,Saúde
44,29/12/1979,"Colônia Renan Melo, 83
Vila Rica
56965-878 Gonçalves de Araújo / BA",Rondônia,6303.77,Ensino Médio,2,Casado,Indústria
56,13/05/1967,"Viela de da Cunha
São Salvador
86083815 Moreira de Caldeira / AL",Amazonas,13937.67,Ensino Médio,0,Casado,Tecnologia
34,01/05/1989,"Residencial Nicolas Fogaça, 30
Vila Maria
62618541 Pinto / PA",Tocantins,11127.47,Ensino Superior,2,Casado,Saúde
46,24/12/1977,"Núcleo Sophie Alves, 79
Gameleira
86282975 Pereira do Galho / RS",Distrito Federal,12216.39,Ensino Superior,3,Casado,Saúde
35,25/04/1988,"Estação Olivia Barros, 37
Tupi B
08480-199 Ferreira do Campo / RO",Tocantins,8219.17,Ensino Médio,0,Casado,Saúde
60,02/02/1964,"Favela Correia, 55
Diamante
27813615 Porto Verde / AP",Minas Gerais,4739.76,Ensino Fundamental,1,Casado,Indústria
36,05/09/1987,"Distrito de Costa, 54
Jardim Vitoria
23985-226 Correia / RS",Mato Grosso do Sul,7769.92,Ensino Médio,2,Casado,Saúde
34,12/01/1990,"Alameda de Dias, 34
Jonas Veiga
64085-288 Barros / SC",Acre,14499.59,Ensino Superior,0,Solteiro,Saúde
21,03/04/2003,"Campo de Silva
Nova Granada
95507206 Campos / ES",Roraima,2913.21,Ensino Fundamental,2,Casado,Tecnologia
64,12/03/1960,"Lagoa Ana Sophia Costa, 22
Vila Coqueiral
06663225 Aragão de Goiás / MG",Rio de Janeiro,4401.9,Ensino Superior,0,Casado,Comércio
23,24/11/2000,"Passarela Cauã Novaes, 78
Anchieta
17244785 da Mata / ES",Piauí,5183.17,Ensino Médio,0,Casado,Indústria
58,18/04/1965,"Núcleo de Novaes, 2
Santo André
26558-205 da Mota / TO",Pernambuco,20538.3,Ensino Superior,0,Casado,Saúde
24,17/02/2000,"Chácara Vieira, 157
Acaba Mundo
09376801 Rodrigues / AC",Rondônia,4650.45,Ensino Superior,1,Casado,Educação
30,19/05/1993,"Esplanada de Fogaça, 21
Calafate
59521-998 Almeida Verde / AL",Alagoas,3963.92,Ensino Fundamental,0,Casado,Comércio
51,27/06/1972,"Colônia Raquel Oliveira, 74
Vila Barragem Santa Lúcia
68880-991 das Neves de da Cruz / RN",Maranhão,8590.86,Ensino Superior,0,Solteiro,Comércio
34,28/04/1989,"Fazenda Camila Novaes, 30
Cinquentenário
37399122 Gonçalves / SC",Amapá,4162.27,Ensino Médio,3,Solteiro,Saúde
18,06/10/2005,"Condomínio Rezende, 6
Caiçara - Adelaide
60045-442 Dias do Oeste / CE",Mato Grosso do Sul,4557.42,Ensino Médio,2,Divorciado,Comércio
63,24/11/1960,"Viaduto Sophie Nogueira, 87
Novo Tupi
26528-473 Nascimento da Mata / GO",Sergipe,8395.68,Ensino Superior,0,Casado,Comércio
20,16/08/2003,"Avenida Enzo Costa, 64
Gameleira
59292856 Fogaça do Sul / PA",Paraná,5629.47,Ensino Médio,1,Casado,Indústria
21,18/11/2002,"Via de Nascimento, 36
Nova Cintra
97994498 Silveira de Rocha / BA",Pará,6410.17,Ensino Médio,0,Casado,Indústria
79,08/10/1944,"Campo Farias, 49
Caiçara - Adelaide
10659611 Barbosa de Cunha / PA",Piauí,4609.63,Ensino Médio,1,Casado,Educação
31,14/10/1992,"Largo de Viana, 99
Ribeiro De Abreu
63446377 Santos das Flores / ES",Ceará,2858.06,Ensino Fundamental,3,Solteiro,Tecnologia
22,28/10/2001,"Estrada Nunes, 983
Jardim Vitoria
84480411 Ribeiro de Lima / ES",Rio Grande do Sul,4336.68,Ensino Médio,1,Solteiro,Indústria
65,11/02/1959,"Campo Marina Costela, 3
Aguas Claras
02180-463 Sales / AL",Ceará,7795.33,Ensino Médio,0,Solteiro,Comércio
24,11/07/1999,"Largo Maitê Teixeira, 51
Parque São José
30539-721 da Rosa / PE",Mato Grosso,7183.26,Ensino Superior,2,Casado,Saúde
52,09/05/1971,"Praça de Nunes, 4
Vila Tirol
18471906 das Neves do Norte / DF",Sergipe,11539.21,Ensino Médio,1,Solteiro,Comércio
37,29/04/1986,"Vale Moura, 34
Corumbiara
82422164 Souza da Mata / CE",Distrito Federal,3578.94,Ensino Médio,0,Casado,Comércio
23,23/01/2001,"Área Esther Oliveira, 35
Nova Vista
21794-668 da Mata / TO",Amazonas,11301.55,Pós-graduação,0,Casado,Tecnologia
43,03/09/1980,"Loteamento de Lima, 486
Colégio Batista
04657167 Freitas do Oeste / PB",Pernambuco,14621.56,Pós-graduação,1,Casado,Comércio
40,03/09/1983,"Feira Ferreira, 7
Nossa Senhora Da Aparecida
83447590 Santos da Mata / PI",Espírito Santo,8943.72,Ensino Médio,0,Solteiro,Comércio
18,17/10/2005,"Praia de Mendes, 62
Estrela
72677-790 Cardoso / RO",Rio de Janeiro,3379.71,Ensino Fundamental,0,Solteiro,Comércio
30,26/09/1993,"Aeroporto Viana, 94
Olhos D'água
16697-847 Pinto Grande / MG",Pernambuco,7044.22,Ensino Médio,1,Casado,Comércio
50,28/07/1973,"Núcleo Lavínia da Rosa
Vila Aeroporto
90344905 Caldeira de da Cunha / RS",Goiás,2431.25,Ensino Fundamental,0,Casado,Saúde
56,11/08/1967,"Passarela de Campos, 38
São Tomaz
76688411 Cavalcanti / SC",Piauí,16055.04,Pós-graduação,1,Casado,Saúde
29,03/12/1994,"Rua Gabriela Nascimento, 185
Vila Vista Alegre
64679217 Vieira / PB",Santa Catarina,12823.21,Ensino Superior,3,Casado,Tecnologia
65,12/11/1958,"Estrada Brenda Monteiro, 1
Jardim Leblon
18759-939 da Mata Verde / AP",Paraíba,7668.86,Ensino Superior,0,Casado,Indústria
25,28/12/1998,"Praça Pinto, 23
Novo Das Industrias
85055-843 da Costa do Norte / MG",Minas Gerais,3096.79,Ensino Médio,1,Casado,Comércio
46,19/12/1977,"Praia Rocha, 5
Vila Canto Do Sabiá
87726-584 Cardoso de Rodrigues / AM",Sergipe,17877.27,Ensino Superior,1,Divorciado,Tecnologia
46,11/03/1978,"Avenida Nascimento, 62
Vila São Paulo
21629-795 Viana do Norte / RN",Amazonas,6958.11,Ensino Médio,3,Solteiro,Educação
47,27/08/1976,"Setor Thales Moreira
Guaratã
29787-552 da Costa Alegre / AC",Alagoas,6181.7,Ensino Médio,2,Casado,Saúde
39,10/06/1984,"Viela Alexia Cardoso, 29
Vila Santo Antônio
99869-055 Santos / RR",Amazonas,6191.66,Ensino Médio,1,Viúvo,Educação
31,06/03/1993,"Travessa Luiza Ramos, 41
São Pedro
31615868 Barros / ES",Goiás,9181.32,Ensino Médio,0,Divorciado,Tecnologia
53,10/06/1970,"Feira Anthony Dias, 281
Bonsucesso
13698-467 Almeida / PA",Sergipe,9347.17,Ensino Médio,0,Divorciado,Tecnologia
47,10/11/1976,"Vale Esther da Mata, 9
Conjunto Celso Machado
02170-825 Cavalcanti / CE",São Paulo,4709.05,Ensino Médio,1,Casado,Indústria
31,16/07/1992,"Ladeira de da Luz, 91
Lourdes
78214-764 Moreira / RN",Minas Gerais,6317.55,Ensino Superior,0,Solteiro,Tecnologia
26,25/01/1998,"Rua de Pereira, 1
Jonas Veiga
23873614 da Paz / AC",Piauí,9365.53,Ensino Superior,4,Casado,Indústria
48,21/06/1975,"Vale Pires, 51
Camponesa 1ª Seção
13102890 Dias / SE",Sergipe,10701.87,Ensino Superior,1,Casado,Tecnologia
28,07/05/1995,"Trecho Miguel Pires, 733
Itatiaia
36404135 Silva da Praia / RO",Maranhão,4655.06,Ensino Médio,1,Casado,Comércio
37,20/12/1986,"Via Igor Lopes, 18
Diamante
78872-395 Ramos / CE",Paraná,3529.75,Ensino Médio,1,Casado,Saúde
20,15/06/2003,"Ladeira Pires, 23
Comiteco
92084-312 Almeida de Minas / PB",Amapá,1577.65,Ensino Fundamental,0,Casado,Educação
34,14/03/1990,"Avenida Isabel Ramos, 65
Leticia
57821-456 Cunha / PI",Minas Gerais,11255.37,Ensino Médio,2,Solteiro,Tecnologia
31,20/02/1993,"Vale Oliveira, 30
Vila Fumec
54808378 Cavalcanti / RS",Amazonas,10630.62,Ensino Superior,0,Casado,Comércio
24,01/05/1999,"Sítio de Barros, 80
Renascença
93782067 Ramos de Goiás / PE",Goiás,4046.64,Ensino Médio,0,Casado,Educação
57,16/05/1966,"Campo da Luz, 86
Lagoinha
72781-381 Aragão / SP",Maranhão,10236.07,Ensino Médio,3,Divorciado,Saúde
30,21/03/1994,"Morro Lopes, 764
Santa Lúcia
20765202 Costela de Lopes / AC",Roraima,2087.78,Ensino Fundamental,0,Casado,Educação
52,03/02/1972,"Núcleo Gabriel Cavalcanti, 420
Bela Vitoria
71937699 Barros Grande / MT",Rio Grande do Norte,5300.92,Ensino Médio,4,Solteiro,Educação
19,08/11/2004,"Quadra de Moreira, 3
Monte São José
84911-154 da Costa Verde / PE",Alagoas,2850.48,Ensino Fundamental,1,Casado,Tecnologia
54,26/06/1969,"Conjunto de Moura, 59
São Jorge 3ª Seção
15872903 Alves / RR",Maranhão,16866.83,Ensino Superior,0,Solteiro,Comércio
